ipca;ano-mês;ipca_acum_12m;ipca_acum_10y;selic;cdi_acum_365d;cdi_acum_3650d;dolar;ibovespa;sp500;nasdaq;ouro
1,31;2000-08;6,85;1242,77;16,5;0,18;467339,66;1,81;17314,0;1491,56;3862,99;276,1
0,23;2000-09;7,6;1231,2;16,5;0,18;407137,58;1,84;16458,0;1462,86;3857,57;273,2
0,14;2000-10;7,52;1217,02;16,5;0,18;341116,05;1,87;14891,0;1392,27;3336,17;270,3
0,32;2000-11;6,47;1202,8;16,5;0,18;285332,56;1,95;14512,0;1367,72;3028,99;265,4
0,59;2000-12;5,84;1186,31;16,5;0,18;234368,85;1,96;14906,0;1326,95;2634,91;271,2
0,57;2001-01;5,83;1168,46;15,75;0,17;184911,44;1,95;17024,0;1342,54;2682,78;264,7
0,46;2001-02;5,78;1148,28;15,25;0,17;165745,14;2,0;16863,5;1315,92;2470,97;260,7
0,38;2001-03;6,11;1128,02;15,25;0,17;150565,19;2,09;15149,0;1172,19;1945,95;261,45
0,58;2001-04;6,27;1116,48;15,75;0,16;135000,79;2,18;14444,0;1187,66;1942,33;261,2
0,41;2001-05;6,43;1112,07;16,25;0,16;122047,02;2,31;14730,5;1266,52;2174,56;268,7
0,52;2001-06;6,83;1105,05;16,75;0,16;111300,22;2,38;14807,5;1226,2;2121,66;272,0
1,33;2001-07;7,12;1094,38;18,25;0,16;100619,24;2,47;13910,0;1205,82;2027,13;267,4
0,7;2001-08;6,84;1083,3;19,0;0,16;90168,87;2,51;13509,0;1181,66;1918,89;273,9
0,28;2001-09;6,23;1068,37;19,0;0,17;75166,77;2,68;10552,0;1032,74;1527,8;289,75
0,83;2001-10;6,28;1053,02;19,0;0,17;63739,68;2,74;11141,0;1077,09;1671,31;282,1
0,71;2001-11;6,97;1033,62;19,0;0,17;48263,77;2,53;12810,0;1138,65;1887,97;275,95
0,65;2001-12;7,36;1009,12;19,0;0,17;37245,07;2,35;13353,0;1144,73;1979,66;276,0
0,52;2002-01;7,42;986,06;19,0;0,17;30093,65;2,38;13232,0;1138,41;1979,25;281,5
0,36;2002-02;7,37;960,64;19,0;0,18;23052,74;2,42;13183,5;1104,18;1805,2;297,5
0,6;2002-03;7,27;936,68;18,75;0,18;19157,2;2,35;13986,5;1153,71;1864,16;293,55
0,8;2002-04;7,49;915,88;18,5;0,18;15159,45;2,32;13318,0;1120,27;1762,88;302,45
0,21;2002-05;7,71;896,75;18,5;0,18;12575,49;2,48;12574,0;1081,85;1657,02;311,4
0,42;2002-06;7,51;872,1;18,5;0,19;10165,98;2,7;11879,0;1016,79;1500,96;320,25
1,19;2002-07;7,41;852,31;18,5;0,19;8322,03;2,87;10580,5;908,83;1357,38;314,0
0,65;2002-08;7,27;831,67;18,0;0,18;6733,25;3,11;9739,5;917,83;1325,41;309,9
0,72;2002-09;7,22;810,18;18,0;0,18;5297,44;3,19;9717,0;875,77;1256,03;319,8
1,31;2002-10;7,66;786,27;21,0;0,18;4287,53;3,85;9022,0;879,2;1272,29;316,5
3,02;2002-11;8,14;762,34;21,0;0,19;3354,59;3,57;9971,0;909,09;1406,16;318,6
2,1;2002-12;10,45;742,87;22,0;0,19;2711,25;3,62;10674,0;897,38;1381,69;337,0
2,25;2003-01;11,9;719,73;25,0;0,19;2197,62;3,43;11625,5;908,59;1387,08;356,6
1,57;2003-02;13,63;691,63;25,5;0,2;1638,57;3,59;10306,0;837,28;1310,17;354,0
1,23;2003-03;14,84;668,22;26,5;0,2;1349,73;3,44;11006,0;848,18;1341,17;336,5
0,97;2003-04;15,47;642,19;26,5;0,21;1088,33;3,14;12086,0;885,23;1396,58;327,9
0,61;2003-05;15,64;615,41;26,5;0,22;840,04;2,96;13130,0;933,41;1520,15;352,6
-0,15;2003-06;16,04;588,33;26,5;0,22;653,59;2,87;13614,5;986,24;1627,67;356,6
0,2;2003-07;15,47;558,11;26,0;0,23;503,97;2,88;13601,0;991,82;1720,81;350,75
0,34;2003-08;14,48;527,59;24,5;0,23;384,76;3,0;13890,0;990,67;1715,62;361,6
0,78;2003-09;14,17;494,97;22,0;0,24;285,72;2,92;16054,0;1021,99;1855,03;379,7
0,29;2003-10;14,23;460,06;20,0;0,24;210,4;2,86;17814,0;1039,25;1912,36;377,2
0,34;2003-11;13,21;426,43;19,0;0,24;152,94;2,93;18800,5;1052,08;1947,14;391,5
0,52;2003-12;10,53;391,21;17,5;0,24;111,87;2,93;21086,5;1074,64;1955,99;409,2
0,76;2004-01;8,95;354,89;16,5;0,23;79,29;2,84;23471,0;1131,53;2104,67;412,7
0,61;2004-02;7,46;314,34;16,5;0,22;55,75;2,93;21965,5;1144,11;2053,56;403,6
0,47;2004-03;6,5;274,68;16,5;0,21;38,24;2,91;21901,0;1122,47;1976,76;404,2
0,37;2004-04;5,74;232,4;16,0;0,2;25,98;2,91;21754,0;1135,53;2030,08;399,8
0,51;2004-05;5,14;190,09;16,0;0,2;17,15;3,12;18669,0;1096,86;1925,81;383,85
0,71;2004-06;5,04;146,57;16,0;0,19;11,85;3,13;20293,0;1133,56;1995,6;392,5
0,91;2004-07;5,9;99,85;16,0;0,18;9,56;3,04;21677,0;1106,69;1912,71;398,3
0,69;2004-08;6,61;93,92;16,0;0,17;9,2;3,01;22410,5;1095,43;1833,93;402,95
0,33;2004-09;6,96;92,75;16,12;0,17;8,96;2,89;22749,0;1118,31;1886,43;405,8
0,44;2004-10;6,51;91,55;16,25;0,16;8,72;2,85;23230,0;1121,84;1932,97;420,3
0,69;2004-11;6,66;89,37;16,75;0,16;8,46;2,78;24034,5;1173,82;2078,62;437,45
0,86;2004-12;7,01;87,25;17,75;0,16;8,22;2,71;25576,0;1200,95;2149,7;441,6
0,58;2005-01;7,35;86,4;17,75;0,16;8,02;2,7;24368,5;1183,36;2076,61;423,85
0,59;2005-02;7,17;85,28;18,25;0,16;7,81;2,6;26640,5;1201,59;2065,4;425,5
0,61;2005-03;7,15;84,85;18,75;0,17;7,66;2,71;27778,5;1193,98;2025,7;434,2
